"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region","se"
5,0.797858737408402,0.159770577631948,0.419855501598313,0.993065367338485,1.00071896428649,4500,2007,"MM.p.uw","South East Asia",NA
6,0.540504324107867,0.153950259544419,0.236352801758155,0.819310257666302,1.00133300960963,4500,2008,"MM.p.uw","South East Asia",NA
7,0.397006298567807,0.120956613592405,0.175107121798735,0.640079885307921,1.00141905994425,2700,2009,"MM.p.uw","South East Asia",NA
8,0.478312866489092,0.131367707554171,0.224924247819418,0.736372706725171,1.00291351916717,890,2010,"MM.p.uw","South East Asia",NA
9,0.365890243167296,0.120134918033978,0.153077266195744,0.61234852935214,1.00081226447184,4500,2011,"MM.p.uw","South East Asia",NA
10,0.525020857364071,0.138602462228352,0.263779360233067,0.79445823623146,1.00129503619066,3200,2012,"MM.p.uw","South East Asia",NA
11,0.615658414201278,0.126305289921866,0.363517818971321,0.844288163144102,1.00197218325996,1500,2013,"MM.p.uw","South East Asia",NA
12,0.40751728891384,0.168809469192822,0.116020196690066,0.749705879506766,1.00096013711363,4500,2014,"MM.p.uw","South East Asia",NA
13,0.334332585328141,0.144034280467534,0.0892401627291579,0.636068803057709,1.00072958152856,4500,2015,"MM.p.uw","South East Asia",NA
14,0.287840100883158,0.141579524129845,0.0657193895866006,0.594007256424187,1.00110952624743,4500,2016,"MM.p.uw","South East Asia",NA
15,0.764109361874499,0.151096832000525,0.409044914634091,0.97200940432592,1.00093566236665,4500,2017,"MM.p.uw","South East Asia",NA
16,0.330033598921868,0.141558107012853,0.0903718116021598,0.632105600017835,1.00103897842817,4500,2018,"MM.p.uw","South East Asia",NA
17,0.274676163572278,0.146744759755829,0.0563891543675109,0.595068996397219,1.00194649080049,1600,2019,"MM.p.uw","South East Asia",NA
1,0.00286703447413921,0.0162423210974053,1.63666603841932e-32,0.032632428027278,1.01819429790847,190,2003,"MM.p.uw","South Asia",NA
2,0.0598265040243281,0.0450014625411797,0.00573659932615287,0.17356871824423,1.00107580239988,4500,2004,"MM.p.uw","South Asia",NA
3,0.118759511539893,0.0570154923825787,0.0345777078218298,0.251069993651569,1.00122018978674,3600,2005,"MM.p.uw","South Asia",NA
4,0.161061714089327,0.0523581742033759,0.0763357770606315,0.28177629162679,1.00142765955994,2600,2006,"MM.p.uw","South Asia",NA
5,0.112424249600522,0.031660439635216,0.062763733490049,0.186376990444856,1.00833728230924,260,2007,"MM.p.uw","South Asia",NA
6,0.141258603491137,0.0429390516870684,0.0731460102363821,0.2394091934985,1.0017677353907,1800,2008,"MM.p.uw","South Asia",NA
7,0.194015285363199,0.0468001068660249,0.11697435859569,0.298051940028538,1.00120057474168,3700,2009,"MM.p.uw","South Asia",NA
8,0.23004802504267,0.0526474577348334,0.138535304639275,0.34019552066661,1.00158290217515,2200,2010,"MM.p.uw","South Asia",NA
9,0.116411736977353,0.0345990324491048,0.061170946538783,0.197464080521616,1.00068086280587,4500,2011,"MM.p.uw","South Asia",NA
10,0.125335361226467,0.0366542927724163,0.0660019806402268,0.208222267948538,1.00209860563577,1400,2012,"MM.p.uw","South Asia",NA
11,0.104002607060638,0.0333972284188824,0.0507403889735238,0.179291190980702,1.00114581028591,4200,2013,"MM.p.uw","South Asia",NA
12,0.174178204587811,0.0513294990641172,0.0876350315897195,0.287397189061437,1.00135143163386,2900,2014,"MM.p.uw","South Asia",NA
13,0.308148756586865,0.0627820800592531,0.194810598150302,0.439499804051101,1.00115239220926,4100,2015,"MM.p.uw","South Asia",NA
14,0.164639371527912,0.0363943747350524,0.10446361659941,0.245999634906225,1.00105144145818,4500,2016,"MM.p.uw","South Asia",NA
15,0.186923220643469,0.0392664864949882,0.121440935115885,0.274728665679691,1.00175805088752,1800,2017,"MM.p.uw","South Asia",NA
1,0.383118176147484,0.167837168167975,0.112973651466432,0.740416440643713,1.00151418134275,2400,2003,"MM.p.w","South East Asia",NA
2,0.328629826155174,0.162375789800658,0.0663755496691505,0.686554648611984,1.00073101773622,4500,2004,"MM.p.w","South East Asia",NA
3,0.689219397225579,0.16960849769095,0.332787410700255,0.955405380685172,1.00206304412267,2500,2005,"MM.p.w","South East Asia",NA
4,0.358949607310391,0.144649988282507,0.114397115530722,0.665782972080172,1.00084341791444,4500,2006,"MM.p.w","South East Asia",NA
5,0.773952382876083,0.168184157746341,0.382221072650374,0.991766573620911,1.00077253252545,4500,2007,"MM.p.w","South East Asia",NA
6,0.499339604678324,0.155862853630468,0.199699113770082,0.793411257066007,1.00079894154228,4500,2008,"MM.p.w","South East Asia",NA
7,0.33849240022992,0.123210426587693,0.130858801489182,0.602978383877547,1.00081266729063,4500,2009,"MM.p.w","South East Asia",NA
8,0.456556554432793,0.13852094800153,0.197220035740484,0.733200509232222,1.00141463908991,2700,2010,"MM.p.w","South East Asia",NA
9,0.307812044089061,0.121868762155566,0.11550833027954,0.579588703906058,1.00095795988481,4500,2011,"MM.p.w","South East Asia",NA
10,0.457545477497175,0.149799580254109,0.192178825595587,0.763047281841936,1.00119827907162,3800,2012,"MM.p.w","South East Asia",NA
11,0.563790732090766,0.155170079842442,0.256993758229758,0.84669399103093,1.00195730234603,1600,2013,"MM.p.w","South East Asia",NA
12,0.395706650916927,0.164276993248401,0.119793358023717,0.736335929296066,1.00069063615117,4500,2014,"MM.p.w","South East Asia",NA
13,0.309752837350598,0.136105218198483,0.077325727632566,0.595293959166919,1.00102379506953,4500,2015,"MM.p.w","South East Asia",NA
14,0.257507760263955,0.131769446441902,0.0563457927215247,0.550563449286823,1.00153864781279,2300,2016,"MM.p.w","South East Asia",NA
15,0.755826706304453,0.148280664787886,0.41342646190647,0.966772693649822,1.00092142065036,4500,2017,"MM.p.w","South East Asia",NA
16,0.290332785899822,0.128109682970555,0.0770756127754791,0.565833116303823,1.00100631265865,4500,2018,"MM.p.w","South East Asia",NA
17,0.229146770985506,0.129634892904603,0.0477424533286696,0.52763202880854,1.00235979883657,1200,2019,"MM.p.w","South East Asia",NA
1,0.00300412356111642,0.0177880194767026,1.54420306611612e-32,0.0315339261576942,1.01818109966536,190,2003,"MM.p.w","South Asia",NA
2,0.0637101762513878,0.0519043896876037,0.0058510561731178,0.196993722817267,1.00080657406484,4500,2004,"MM.p.w","South Asia",NA
3,0.12082848164326,0.0516539370011684,0.042558028801096,0.238521772857929,1.00180836591338,1800,2005,"MM.p.w","South Asia",NA
4,0.172502982195198,0.0596685176483157,0.0771807276829068,0.30776433358384,1.00165298881952,2000,2006,"MM.p.w","South Asia",NA
5,0.124645367186909,0.0261924723758663,0.081800437639303,0.184082505488339,1.00662349941315,340,2007,"MM.p.w","South Asia",NA
